Source,Target,Type,Id,Label,Weight
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,PO7YC6AMPMQBVXO2RCRGOVBOKTJM3RFG5OKQMGZTVE6QWHPDQ3NMTKYCC4,Undirected,25,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,6X2JKTKMUC65CAF4XUWEKDTR7ZXCIUQMZZAQRWUVXIYW244YFYV7D6MHRY,Undirected,26,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,E7MCUSCY7AMXZHS4DSIMEHYUPWFOSNTM4AFPSDBHVND3WAOFIAWGH6IAQA,Undirected,27,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,NRGC5YY7SNVQRGECT23AOC7O3N5JRK7LOCOAVS4KF7RCHWROTYXVEDLJQQ,Undirected,28,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,TMO6J5JMFAPNQS34UQU7SHTRYK2RX4QDQIE73MHYF3HFAGC3NV6W3AHGMQ,Undirected,29,,1
350338509,4KIK3VHPGSQBHD4GU3NDKMQXIR3ZLEPDLE32HA7RLYOSQ7MYVOPCF662YQ,Undirected,30,,1
350338509,V7QDHA2TVN5MDSWRRZWTQHPMCM3LBHQFYEFCWVJTLJELZZT2GIFS5OIN3E,Undirected,31,,1
350338509,RBP7BIGCOAX6DTW6ICWZIMNUNPWYOHYZKLVLTZFFN4N66FJVOUQFZI3S4Q,Undirected,32,,1
350338509,432PT4BWCYFQDQMS442XFEASUQS5DHJKDQT2JXRTL7KQTHBOZFTWF3YJAI,Undirected,33,,1
350338509,W3RTY34WM3WNAPESJX3NCHX6KP32O6V2RI5WNB3RBKKZE3RQAXYTLNUWCI,Undirected,34,,1
350338509,KUM5NCBG2QJ6SN5JIRN7NZS5HZQPZJOVV7KZM6BLJVAZ2SYNVQNSAR6RXY,Undirected,35,,1
350338509,ALO6FHECZCTSCWGIVU6ISLQNMUIP4MYQODBZQALOBG2QQTUEUHN3MJSYOE,Undirected,36,,1
350338509,Y74RXNAUAZT2U5PD57Y22NVU6UPW5WNLRLHA763EE5IJSLSJXRAX6YY4OE,Undirected,37,,1
350338509,MNHMCFKV36H7OTOWDSFF4PD7PI2Q6U2SNWVMCD47PRIUKBDY4NV56AHANQ,Undirected,38,,1
350338509,4ADBL4JU6XRWT2DLWMNTQ7V7GLQUVVUQJ5NDWUNGXAJPRW3JGZ7HJUSC4I,Undirected,39,,1
350338509,TPXKYH4SMDZUGZ5RNP35UAP6KO6DY4IMM7C4TQ64FDKK5DSNYZVIZELKK4,Undirected,40,,1
350338509,R652C5ABMSXLMO3TCLEP7DZP7KIPQCRTOM7GCSVTDT6JS3FO5YRYFGGLZM,Undirected,41,,1
350338509,QWISKOQ2XV4EWCU5TOKAMQ5R5QBV4V57DIAUUUDTWBMD3AMSSGAQDNBUOI,Undirected,42,,1
350338509,WRQWUAZ32VVY72DR72XK54APFD52OX75K5Y437XQ25BWM67C5NACN4TBNY,Undirected,43,,1
350338509,GULBMFLLCXV7XHBB645V67JOEM4WRNETVZWTDNCV7RPV3HZDTRMW6DCDNQ,Undirected,44,,1
350338509,EQJRTNUFFLKP4WLFHJ7FHDDJXG3R3ZUEMDBEXCZ5QXIB6BZYFC3WVMUUFI,Undirected,45,,1
350338509,VTGB7ITXOVSW5UPLKBXHPZNMHDHOINOWY2YKHSGBK3TI2WOIGEQXX6YEGI,Undirected,46,,1
350338509,43FNLARJBYPBIBVVULIPDUJWJWMJHMKNTGDOWI2GTCAVRSSDG7L6OX2GUI,Undirected,47,,1
350338509,HPSDZOIBAPREKKIKWDLKRKLQKFOFU3KH6NGVS3YGVZD3E7ZIK2ZPKYSRNU,Undirected,48,,1
350338509,7NG5TMQTHMZNXVLR4FRX4SAO6Y5FTGOQNYWUOOOMHWYCMGOUFZ7KSB5DWA,Undirected,49,,1
350338509,M6JOPI32CH4B6BSL2WMG2UATXRRJGR6VFYS3VPXLOTUBB5LZIIDLZXXSBU,Undirected,50,,1
350338509,F5A5GZOA464VNLLV2PGQBP7DEP2DL5G3DBVV6OCL3RD44UMK2UUUB4QXBM,Undirected,51,,1
350338509,JI2ZFDHBL7TE3CSTIRCJE7LUAR5XSQYQQENCYCMMTQJCIIVXTZLSMS7UMQ,Undirected,52,,1
350338509,SHGW62KVJ2DYHRZOH4MYMXSK6HNNT7QYON4M4KSDJR4KZXJOPNBHZKTMII,Undirected,53,,1
350338509,Q4QFGLLXLIDOTG54GDUXVS67YGJVJPTLOGUSR3YGIHNHSOCQPB3EL6RX6I,Undirected,54,,1
350338509,OK3P7NZ6FJJPPRY7B6UUC4RWPHJGJTNM4ALSK7BVVBDZHBSJL3OOGATLPM,Undirected,55,,1
350338509,CVKJ5TW3GKAZBP2ZGQRLDZ5UQD4CELET6X2NBIRUNIIF2A7IN6LN7RLZ3U,Undirected,56,,1
350338509,IWUWVEYS5XUVXRTJHCJ4P3WDVUL7HDG7OJD4D4UR2B7LEJFN2MTKTBY5S4,Undirected,57,,1
350338509,RGSKYZ5UAW4RRLA3EVCR4NFA7TN3QPWXUJE55HS7ODZ2KHWBYWMVJX37MI,Undirected,58,,1
350338509,LVU5UINDMPGJXYWENHIGR4PQVCRWHTZAH3BGB5ATF2CE74LZSPOL5CD2RQ,Undirected,59,,1
350338509,AIFU57RAPPX672WDLAUGZE46677XNGYQEX2KQM54DJZ4HUTQ264M2TALQA,Undirected,60,,1
350338509,XISL3CYWGR75JLPQYP3ZPG76LFJXILYZYVA5N7YA4NHLK2OYG5EFTFZB4U,Undirected,61,,1
350338509,N2WIZSPT7SC5JKKABAIRGU2UKGJ6FVA3G4PFCEF2EQPQPUPX4Y3CPNEDZ4,Undirected,62,,1
350338509,JA3HJ7OXYKTJNZFVVPHP7RSWPCUROXX3TL6L7YEBVMKK73QEDIVZSCLOGQ,Undirected,63,,1
350338509,53J3G3JPJJQOYIDQFZD4HFUXTEI5BPWBVT2J3E2X65H4UYBJ32CQK4TVEY,Undirected,64,,1
350338509,OZKF4PNTFBD3UVS35CKNZSEKQWSPD52MSGNTFGKKESJWZXEFQLFCOR2RSY,Undirected,65,,1
350338509,7YDM4EL4QTNUQQMBC2ET6MLTB7LTA2WY2QZGNEPCP5NF434LW4DWT4XG6Y,Undirected,66,,1
350338509,DRHX6S3LL2KGY63GWUORYJM3R4V7YHMKA4I4D3DB3NKE4FSTBUN2R2WTC4,Undirected,67,,1
350338509,J76DEB6FVDAMRDT7KREHBM3LDPSCSTG5DZIOO5SMXLDLHNUHJINKZ73U3I,Undirected,68,,1
350338509,YHHF77E5O4UTOSMS7Q45JFASW4KG3J5ZK2DPM3D7BHTHOLFQ5OTYZXEEY4,Undirected,69,,1
350338509,FAY75ZHZUOIG3PGFKPOLVQAD26B2P4LWBUNX5B5SYZMDBWL3UCIU7GQTJM,Undirected,70,,1
350338509,G22BJ4V3SRKE7D2SL2O2DBNOKL3AVGZTZNEHBV4OYRSWF3N4RZSIGDEZFE,Undirected,71,,1
350338509,6PGTVX63Z2Z7QHLW5ZTKQMYHYMT6UH3E64VV32K7LY6WDZRDNRPWWSBWIM,Undirected,72,,1
350338509,VZSUSVVRJSAUUUNONEH5ZH3REOGUW5K7Q3ORJPJZJNK4UPRTGYSBLJMMPA,Undirected,73,,1
350338509,ATERWLHYS6MMU33BFMVJKG4UM5W5SVMYIWUWII7V5KFPVBGQWLTBC7XPJU,Undirected,74,,1
350338509,WBGPAAM52ZDFERRVSDXJIERIY3CXRUFEITR6NXBVWGPCF5G4RN6EI5IFZQ,Undirected,75,,1
350338509,FEZ7ED2GGSPQ7XWG7FAW4BYYETCK54WBGFQPBWEJFU6D4VXZTLN7PHJFOM,Undirected,76,,1
350338509,J7ENJXFHWMWHSDB53L6YJCBVJU7THUKZVC6TOO3PIR4OZ7JE735JYMFOPY,Undirected,77,,1
350338509,D6K6AQ7N3XAZXOE7C6YPGW5BMIBUAFPYQWX3RMTT6WMJGP5S5S4RIOMISM,Undirected,78,,1
